f_id,i_id,log_precision
1,2,0.4013740808360788
1,3,0.4855942498448432
1,4,0.3287019614255028
1,5,0.4010220027723363
2,2,3.686548934369819
2,3,3.79322252316644
2,4,3.651295769900864
2,5,3.8886643340601
3,2,1.6492745024059907
3,3,1.6392409520720872
3,4,1.618179962567934
3,5,1.6523173662317867
4,2,1.8459531854337832
4,3,1.746316474230038
4,4,1.9194974592217768
4,5,1.8110695354247688
5,2,0.993479369574794
5,3,0.8940948122593625
5,4,0.8910809710252879
5,5,1.0504562462973257
6,2,1.6061982064729066
6,3,1.9266730135246604
6,4,1.6933957841988074
6,5,1.7004953038873554
7,2,1.27952984026799
7,3,1.2802108717728478
7,4,1.2593439816779306
7,5,1.2772510915793267
8,2,2.169655039357204
8,3,2.3711469438082005
8,4,2.514100067836386
8,5,2.4586828973694086
9,2,2.065614451443873
9,3,2.119344816639051
9,4,1.9918496616578016
9,5,2.275319653581437
10,2,3.925222295260156
10,3,3.9246302342440806
10,4,3.9941739066567936
10,5,3.813652916666384
11,2,1.632252233145024
11,3,1.71869949659148
11,4,1.855124145149156
11,5,1.777731707826615
12,2,5.845802064085735
12,3,6.349163023109917
12,4,6.013760919059656
12,5,5.739949648301136
13,2,2.4842358223279875
13,3,2.383999704905788
13,4,2.317258266550036
13,5,2.3096756298077903
14,2,0.5716061760417699
14,3,0.5014882228960377
14,4,0.5473991138992629
14,5,0.4224669595579789
15,2,1.5955675764626995
15,3,1.7402769275152392
15,4,1.6468039454165608
15,5,1.6484166433936511
16,2,0.4713467559448878
16,3,0.5658794097695349
16,4,0.557476133898008
16,5,0.5260500219953667
17,2,0.4224987604964458
17,3,0.4437234585724304
17,4,0.5002396619487102
17,5,0.396804379721481
18,2,0.7510377042431265
18,3,0.9385697317601146
18,4,0.8686746740526373
18,5,0.7777547252383062
19,2,0.6150204120128571
19,3,0.5881078886471419
19,4,0.6193346485215365
19,5,0.6182661202560122
20,2,0.4347946820056711
20,3,0.4460672186216036
20,4,0.471756396386576
20,5,0.4226460869702329
21,2,0.9317066184410872
21,3,0.5351117090222421
21,4,0.8690506757467145
21,5,0.9869408019913892
22,2,1.0355940320893413
22,3,1.0021223286643517
22,4,1.0172528752058174
22,5,1.002700770518086
23,2,0.4678383210725465
23,3,0.4659948886093073
23,4,0.4547697782277007
23,5,0.4796852438756417
24,2,1.7222268844266178
24,3,1.7796915491233578
24,4,1.7492852171197502
24,5,1.7405794327056736
